foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.538e-05,5.150e-05,0.000e+00,1.538e-05,1.431e-05,1.907e-06,2.638e-06,5.305e-06
1.502e-05,4.816e-05,0.000e+00,1.645e-05,1.717e-05,2.384e-06,2.537e-06,4.888e-06
1.442e-05,4.411e-05,0.000e+00,1.788e-05,1.717e-05,4.053e-06,2.734e-06,4.917e-06
1.407e-05,4.077e-05,0.000e+00,1.872e-05,1.764e-05,5.245e-06,2.719e-06,4.470e-06
1.347e-05,3.695e-05,0.000e+00,2.027e-05,1.860e-05,6.437e-06,2.734e-06,4.247e-06
1.264e-05,3.409e-05,4.657e-10,2.110e-05,1.955e-05,7.868e-06,2.872e-06,4.008e-06
6.914e-06,3.052e-05,0.000e+00,1.585e-05,1.526e-05,9.537e-07,5.204e-06,3.457e-06
5.364e-06,1.597e-05,0.000e+00,6.676e-06,7.153e-06,2.003e-05,1.362e-05,2.041e-06
9.298e-06,2.933e-05,0.000e+00,8.464e-06,1.287e-05,7.629e-06,8.967e-06,4.888e-06
2.265e-06,4.101e-05,4.657e-10,1.156e-05,2.193e-05,4.768e-06,5.327e-06,9.812e-06
2.503e-06,1.812e-05,0.000e+00,1.359e-05,1.955e-05,2.861e-06,5.219e-06,9.052e-06
6.914e-06,9.537e-07,4.657e-10,1.502e-05,1.717e-05,2.384e-06,5.294e-06,8.836e-06
1.061e-05,1.812e-05,0.000e+00,1.645e-05,1.335e-05,2.146e-06,5.186e-06,8.166e-06
1.383e-05,3.242e-05,0.000e+00,1.764e-05,1.287e-05,7.153e-07,5.156e-06,7.659e-06
1.681e-05,4.530e-05,0.000e+00,1.895e-05,1.001e-05,2.384e-07,5.249e-06,7.428e-06
1.919e-05,5.698e-05,0.000e+00,1.967e-05,8.583e-06,2.384e-07,5.152e-06,7.004e-06
2.134e-05,6.771e-05,0.000e+00,7.391e-06,7.629e-06,1.836e-05,3.271e-06,9.082e-06
2.027e-05,6.247e-05,0.000e+00,6.080e-06,4.768e-06,2.074e-05,3.029e-06,9.194e-06
1.919e-05,5.770e-05,0.000e+00,7.629e-06,3.815e-06,1.907e-05,3.036e-06,8.658e-06
1.824e-05,5.269e-05,2.328e-10,8.583e-06,9.537e-07,1.788e-05,3.014e-06,8.494e-06
1.681e-05,4.816e-05,0.000e+00,9.894e-06,9.537e-07,1.693e-05,2.921e-06,8.047e-06
1.562e-05,4.435e-05,0.000e+00,1.097e-05,3.815e-06,1.597e-05,3.088e-06,7.547e-06
1.526e-05,4.029e-05,2.328e-10,9.418e-06,3.338e-06,1.550e-05,1.360e-06,8.464e-06
1.466e-05,3.767e-05,2.328e-10,9.060e-06,5.245e-06,1.502e-05,7.004e-07,8.710e-06
1.371e-05,3.505e-05,0.000e+00,1.001e-05,6.676e-06,1.407e-05,6.780e-07,8.129e-06
1.264e-05,3.195e-05,2.328e-10,1.144e-05,8.106e-06,1.287e-05,8.307e-07,7.771e-06
1.144e-05,3.052e-05,0.000e+00,1.216e-05,1.001e-05,1.168e-05,8.382e-07,7.361e-06
1.025e-05,2.837e-05,0.000e+00,1.347e-05,1.049e-05,1.049e-05,8.643e-07,7.100e-06
8.821e-06,2.551e-05,2.328e-10,1.407e-05,1.144e-05,1.025e-05,1.047e-06,6.765e-06
7.868e-06,2.360e-05,2.328e-10,1.037e-05,1.526e-05,6.914e-06,2.030e-06,8.933e-06
8.583e-06,2.527e-05,0.000e+00,8.583e-06,3.338e-05,2.146e-06,6.288e-06,2.038e-05
1.121e-05,4.148e-05,2.328e-10,7.033e-06,3.576e-05,3.099e-06,6.285e-06,1.956e-05
1.311e-06,5.651e-05,0.000e+00,9.418e-06,2.813e-05,7.868e-06,8.985e-06,1.375e-05
4.768e-06,5.531e-05,0.000e+00,1.895e-05,2.241e-05,1.240e-05,1.064e-05,1.017e-05
5.007e-06,4.673e-05,2.328e-10,1.979e-05,2.146e-05,1.121e-05,1.009e-05,9.894e-06
1.478e-05,3.743e-05,0.000e+00,3.314e-05,2.766e-05,1.168e-05,1.367e-05,6.266e-06
1.276e-05,4.292e-05,0.000e+00,3.624e-05,2.623e-05,1.502e-05,1.428e-05,8.874e-06
8.583e-06,4.935e-05,0.000e+00,3.755e-05,2.480e-05,1.550e-05,1.425e-05,8.851e-06
3.338e-06,5.388e-05,0.000e+00,3.433e-05,2.146e-05,1.740e-05,1.274e-05,8.665e-06
7.272e-06,5.555e-05,2.328e-10,1.287e-05,1.240e-05,3.242e-05,3.900e-06,5.931e-06
7.629e-06,5.054e-05,0.000e+00,1.383e-05,1.192e-05,3.076e-05,3.878e-06,6.363e-06
7.749e-06,4.506e-05,0.000e+00,1.502e-05,1.287e-05,3.004e-05,3.763e-06,6.303e-06
7.868e-06,3.982e-05,0.000e+00,1.621e-05,1.335e-05,2.956e-05,3.859e-06,6.370e-06
8.345e-06,3.505e-05,2.328e-10,1.681e-05,1.287e-05,2.813e-05,3.777e-06,6.475e-06
7.987e-06,3.076e-05,0.000e+00,1.502e-05,7.629e-06,1.931e-05,3.077e-06,2.161e-07
7.272e-06,2.265e-05,0.000e+00,1.419e-05,3.815e-06,1.335e-05,2.738e-06,3.874e-06
6.199e-06,1.240e-05,0.000e+00,1.538e-05,2.861e-06,1.287e-05,2.518e-06,3.390e-06
3.576e-06,2.623e-06,0.000e+00,1.073e-06,8.106e-06,1.478e-05,2.105e-06,2.675e-06
6.437e-06,1.097e-05,0.000e+00,2.265e-06,1.001e-05,1.431e-05,2.090e-06,2.436e-06
8.941e-06,1.764e-05,0.000e+00,3.576e-06,1.049e-05,1.287e-05,2.321e-06,2.399e-06
1.109e-05,2.384e-05,2.328e-10,5.126e-06,1.240e-05,1.287e-05,2.302e-06,1.810e-06
1.311e-05,2.909e-05,0.000e+00,6.557e-06,1.335e-05,1.192e-05,2.354e-06,1.475e-06
1.502e-05,3.362e-05,0.000e+00,7.510e-06,1.240e-05,1.097e-05,2.477e-06,1.393e-06
1.550e-05,3.672e-05,0.000e+00,9.060e-06,1.287e-05,8.821e-06,1.706e-06,2.533e-06
1.693e-05,4.005e-05,0.000e+00,1.001e-05,1.431e-05,8.106e-06,1.445e-06,2.824e-06
1.872e-05,4.292e-05,0.000e+00,1.097e-05,1.335e-05,7.153e-06,1.512e-06,2.578e-06
1.669e-05,4.554e-05,2.328e-10,1.550e-05,2.527e-05,9.298e-06,1.483e-06,1.900e-06
1.848e-05,4.816e-05,0.000e+00,1.657e-05,2.623e-05,9.060e-06,1.665e-06,1.609e-06
2.062e-05,5.102e-05,0.000e+00,1.764e-05,2.384e-05,9.060e-06,1.546e-06,1.356e-06
2.706e-05,5.293e-05,1.164e-10,5.841e-06,3.052e-05,1.359e-05,2.347e-06,2.287e-06
3.314e-05,6.819e-05,0.000e+00,5.245e-06,3.862e-05,1.931e-05,7.235e-06,2.182e-05
3.195e-05,7.033e-05,1.164e-10,1.252e-05,3.767e-05,1.955e-05,1.310e-05,3.262e-05
3.189e-05,5.627e-05,0.000e+00,1.144e-05,1.907e-05,1.979e-05,7.991e-06,1.834e-05
2.569e-05,5.770e-05,0.000e+00,4.411e-06,1.144e-05,1.454e-05,1.041e-05,1.516e-05
2.724e-05,6.080e-05,1.164e-10,2.623e-06,1.287e-05,1.287e-05,1.031e-05,1.427e-05
2.897e-05,6.318e-05,0.000e+00,1.431e-06,1.335e-05,1.144e-05,9.865e-06,1.384e-05
3.034e-05,6.604e-05,1.164e-10,0.000e+00,1.335e-05,1.073e-05,9.898e-06,1.324e-05
3.201e-05,6.723e-05,1.164e-10,1.311e-06,1.335e-05,9.298e-06,9.567e-06,1.255e-05
2.861e-05,6.866e-05,1.164e-10,2.146e-06,1.144e-05,3.338e-06,4.467e-06,2.794e-06
3.374e-05,6.795e-05,1.164e-10,4.411e-06,1.431e-05,1.192e-06,3.837e-07,2.034e-06
4.584e-05,6.294e-05,1.164e-10,1.025e-05,1.860e-05,4.768e-06,1.315e-06,1.249e-05
4.351e-05,5.507e-05,2.328e-10,9.179e-06,1.907e-05,3.576e-06,1.200e-06,1.176e-05
4.107e-05,4.911e-05,0.000e+00,7.987e-06,1.907e-05,4.292e-06,1.170e-06,1.113e-05
3.910e-05,4.315e-05,0.000e+00,6.914e-06,1.955e-05,3.815e-06,1.036e-06,1.071e-05
3.755e-05,3.862e-05,1.164e-10,6.080e-06,2.003e-05,4.292e-06,8.531e-07,9.939e-06
3.576e-05,3.433e-05,0.000e+00,4.768e-06,1.955e-05,5.007e-06,8.866e-07,9.291e-06
3.386e-05,3.052e-05,1.164e-10,3.576e-06,2.050e-05,3.815e-06,6.631e-07,8.911e-06
3.088e-05,2.670e-05,0.000e+00,4.053e-06,2.289e-05,2.861e-06,1.006e-06,9.231e-06
2.545e-05,2.646e-05,0.000e+00,7.391e-06,3.719e-05,4.768e-07,2.224e-06,1.393e-05
2.772e-05,3.743e-05,0.000e+00,6.080e-06,3.529e-05,4.768e-07,2.339e-06,1.311e-05
2.921e-05,4.673e-05,0.000e+00,4.292e-06,3.481e-05,0.000e+00,2.183e-06,1.233e-05
3.141e-05,5.412e-05,0.000e+00,1.585e-05,3.624e-05,1.407e-05,5.856e-06,7.972e-06
3.231e-05,5.674e-05,0.000e+00,1.717e-05,3.719e-05,1.645e-05,6.545e-06,6.191e-06
3.147e-05,5.794e-05,0.000e+00,1.574e-05,3.767e-05,1.526e-05,6.333e-06,5.640e-06
2.867e-05,5.770e-05,1.164e-10,1.156e-05,3.815e-05,2.027e-05,1.135e-05,2.727e-06
2.795e-05,5.937e-05,1.164e-10,9.656e-06,3.862e-05,2.003e-05,1.232e-05,1.512e-06
2.754e-05,5.913e-05,0.000e+00,7.868e-06,3.767e-05,1.812e-05,1.184e-05,1.058e-06
2.742e-05,5.960e-05,0.000e+00,6.437e-06,3.719e-05,1.764e-05,1.173e-05,6.184e-07
2.718e-05,5.937e-05,0.000e+00,5.126e-06,3.719e-05,1.645e-05,1.133e-05,1.863e-07
2.670e-05,5.865e-05,0.000e+00,3.934e-06,3.672e-05,1.478e-05,1.081e-05,4.098e-07
2.629e-05,5.794e-05,0.000e+00,2.146e-06,3.576e-05,1.335e-05,1.070e-05,7.749e-07
2.551e-05,5.674e-05,1.164e-10,1.669e-06,3.481e-05,1.216e-05,1.040e-05,1.341e-06
2.545e-05,5.674e-05,0.000e+00,2.384e-07,3.386e-05,1.097e-05,9.961e-06,1.758e-06
2.497e-05,5.531e-05,5.821e-11,3.457e-06,3.242e-05,1.097e-05,9.656e-06,3.949e-07
2.480e-05,5.388e-05,0.000e+00,3.815e-06,3.147e-05,9.298e-06,9.108e-06,2.980e-08
2.384e-05,5.388e-05,5.821e-11,2.742e-06,3.004e-05,8.106e-06,8.944e-06,7.972e-07
2.313e-05,5.293e-05,5.821e-11,1.431e-06,3.052e-05,7.868e-06,8.505e-06,1.028e-06
2.223e-05,5.221e-05,0.000e+00,3.576e-07,2.766e-05,5.722e-06,8.307e-06,1.803e-06
2.134e-05,5.150e-05,5.821e-11,7.153e-07,2.623e-05,5.484e-06,8.065e-06,1.840e-06
2.056e-05,4.983e-05,5.821e-11,1.669e-06,2.432e-05,3.815e-06,7.626e-06,2.690e-06
1.943e-05,4.840e-05,5.821e-11,2.980e-06,2.241e-05,1.907e-06,7.376e-06,2.988e-06
1.848e-05,4.745e-05,0.000e+00,3.695e-06,2.193e-05,1.192e-06,6.802e-06,3.494e-06
1.401e-05,4.530e-05,5.821e-11,5.007e-06,1.717e-05,4.768e-06,5.860e-06,3.502e-06
8.345e-06,3.934e-05,0.000e+00,6.199e-06,1.144e-05,1.311e-05,4.303e-06,3.226e-06
5.484e-06,2.718e-05,0.000e+00,7.868e-06,1.001e-05,1.311e-05,4.180e-06,3.263e-06
1.967e-06,1.788e-05,5.821e-11,2.527e-05,2.480e-05,4.053e-06,1.863e-07,3.479e-06
3.517e-06,2.265e-05,5.821e-11,2.718e-05,2.670e-05,4.292e-06,5.327e-07,3.405e-06
4.292e-06,2.575e-05,5.821e-11,2.468e-05,2.670e-05,5.007e-06,8.605e-07,2.705e-06
5.662e-06,2.718e-05,0.000e+00,2.229e-05,2.766e-05,5.960e-06,7.898e-07,2.198e-06
6.199e-06,2.837e-05,5.821e-11,2.003e-05,2.718e-05,5.484e-06,1.103e-06,1.498e-06
5.603e-06,2.885e-05,5.821e-11,1.812e-05,2.623e-05,8.345e-06,1.267e-07,1.051e-06
3.994e-06,2.956e-05,0.000e+00,1.609e-05,2.146e-05,1.192e-05,2.578e-06,6.407e-07
5.424e-06,3.147e-05,5.821e-11,1.383e-05,2.289e-05,1.240e-05,2.258e-06,1.639e-07
6.974e-06,3.266e-05,5.821e-11,2.539e-05,2.909e-05,7.868e-06,2.943e-06,3.241e-06
8.404e-06,3.409e-05,0.000e+00,2.289e-05,3.052e-05,7.391e-06,2.909e-06,3.651e-06
9.298e-06,3.457e-05,0.000e+00,2.027e-05,2.956e-05,8.821e-06,3.383e-06,4.105e-06
9.835e-06,3.481e-05,0.000e+00,1.788e-05,3.147e-05,9.060e-06,3.196e-06,4.835e-06
1.073e-05,3.481e-05,0.000e+00,1.597e-05,3.052e-05,8.821e-06,3.304e-06,4.813e-06
1.127e-05,3.386e-05,5.821e-11,1.383e-05,3.052e-05,9.298e-06,3.714e-06,5.506e-06
1.144e-05,3.242e-05,0.000e+00,1.407e-05,2.909e-05,9.537e-06,2.202e-06,4.567e-06
1.252e-05,3.266e-05,0.000e+00,1.729e-05,2.861e-05,1.121e-05,6.929e-07,1.356e-06
1.425e-05,3.839e-05,0.000e+00,1.466e-05,2.909e-05,1.073e-05,2.570e-07,2.004e-06
1.585e-05,4.315e-05,0.000e+00,1.299e-05,2.909e-05,1.121e-05,1.974e-07,2.697e-06
1.723e-05,4.673e-05,0.000e+00,1.037e-05,2.861e-05,1.097e-05,5.215e-08,3.055e-06
1.824e-05,4.935e-05,0.000e+00,8.583e-06,2.813e-05,1.144e-05,4.023e-07,3.725e-06
1.913e-05,5.174e-05,0.000e+00,6.318e-06,2.670e-05,1.097e-05,7.376e-07,4.195e-06
1.991e-05,5.317e-05,0.000e+00,4.649e-06,2.670e-05,1.144e-05,7.488e-07,4.880e-06
2.044e-05,5.484e-05,2.910e-11,2.742e-06,2.384e-05,1.168e-05,1.106e-06,5.350e-06
2.098e-05,5.579e-05,0.000e+00,8.345e-07,2.432e-05,1.144e-05,1.274e-06,5.662e-06
2.140e-05,5.627e-05,2.910e-11,8.345e-07,2.289e-05,1.144e-05,1.825e-06,6.273e-06
2.193e-05,5.651e-05,2.910e-11,2.503e-06,2.146e-05,1.192e-05,1.907e-06,6.914e-06
2.223e-05,5.722e-05,2.910e-11,3.934e-06,1.955e-05,1.216e-05,2.082e-06,7.190e-06
2.217e-05,5.674e-05,2.910e-11,5.722e-06,1.717e-05,1.216e-05,2.824e-06,7.883e-06
2.247e-05,5.651e-05,0.000e+00,7.510e-06,1.526e-05,1.216e-05,2.708e-06,8.322e-06
2.247e-05,5.603e-05,2.910e-11,8.583e-06,1.383e-05,1.168e-05,3.133e-06,8.576e-06
2.414e-05,5.531e-05,0.000e+00,1.645e-05,1.383e-05,1.168e-05,3.245e-06,7.786e-06
2.390e-05,5.579e-05,2.910e-11,1.395e-05,1.383e-05,1.097e-05,3.662e-06,8.225e-06
2.402e-05,5.603e-05,0.000e+00,1.168e-05,1.383e-05,1.121e-05,3.904e-06,8.747e-06
2.396e-05,5.722e-05,2.910e-11,9.418e-06,1.383e-05,1.168e-05,3.986e-06,9.060e-06
2.283e-05,5.698e-05,0.000e+00,6.318e-06,1.574e-05,1.144e-05,4.381e-06,9.120e-06
2.193e-05,5.674e-05,2.910e-11,3.099e-06,1.574e-05,1.144e-05,4.593e-06,9.179e-06
2.211e-05,5.555e-05,0.000e+00,1.311e-06,1.478e-05,1.073e-05,4.645e-06,9.440e-06
2.152e-05,5.436e-05,2.910e-11,8.345e-07,1.431e-05,1.144e-05,5.156e-06,1.014e-05
2.146e-05,5.269e-05,2.910e-11,2.503e-06,1.192e-05,1.144e-05,5.335e-06,1.044e-05
2.104e-05,5.221e-05,0.000e+00,4.649e-06,1.049e-05,1.121e-05,5.517e-06,1.090e-05
2.056e-05,5.031e-05,0.000e+00,6.199e-06,1.097e-05,1.097e-05,5.905e-06,1.108e-05
2.021e-05,4.888e-05,0.000e+00,8.106e-06,8.583e-06,1.001e-05,6.139e-06,1.166e-05
2.676e-05,4.625e-05,0.000e+00,7.153e-06,1.812e-05,5.960e-06,5.879e-06,1.501e-05
2.879e-05,4.482e-05,0.000e+00,6.795e-06,2.098e-05,3.338e-06,6.180e-06,1.631e-05
2.670e-05,4.363e-05,2.910e-11,8.583e-06,1.955e-05,3.099e-06,6.333e-06,1.695e-05
2.468e-05,4.220e-05,0.000e+00,9.775e-06,1.621e-05,1.907e-06,6.653e-06,1.708e-05
2.277e-05,4.172e-05,2.910e-11,1.085e-05,1.574e-05,1.431e-06,6.773e-06,1.727e-05
2.074e-05,4.148e-05,0.000e+00,1.240e-05,1.192e-05,1.431e-06,7.156e-06,1.763e-05
1.884e-05,4.125e-05,0.000e+00,1.335e-05,9.537e-06,4.768e-07,7.339e-06,1.793e-05
1.889e-05,4.125e-05,2.910e-11,1.812e-05,1.383e-05,7.868e-06,8.509e-06,2.569e-05
1.723e-05,4.125e-05,2.910e-11,2.086e-05,1.049e-05,7.391e-06,7.562e-06,2.907e-05
1.574e-05,4.387e-05,2.910e-11,2.158e-05,6.676e-06,9.060e-06,7.793e-06,2.903e-05
1.431e-05,4.840e-05,0.000e+00,2.277e-05,4.292e-06,8.583e-06,8.177e-06,2.890e-05
1.281e-05,5.126e-05,0.000e+00,2.372e-05,1.431e-06,8.583e-06,8.348e-06,2.921e-05
1.103e-05,5.460e-05,1.455e-11,2.420e-05,5.245e-06,9.298e-06,8.658e-06,2.901e-05
9.477e-06,5.794e-05,0.000e+00,2.527e-05,1.049e-05,9.775e-06,8.803e-06,2.900e-05
7.927e-06,6.056e-05,0.000e+00,2.587e-05,1.478e-05,9.537e-06,9.403e-06,2.907e-05
5.662e-06,6.247e-05,0.000e+00,2.658e-05,2.003e-05,1.073e-05,9.414e-06,2.871e-05
3.219e-06,6.461e-05,0.000e+00,2.849e-05,2.384e-05,1.049e-05,1.010e-05,2.848e-05
2.980e-07,6.628e-05,1.175e-05,3.028e-05,3.052e-05,9.775e-06,1.054e-05,2.786e-05
2.635e-05,2.623e-06,2.204e-04,1.612e-05,8.368e-05,1.407e-05,1.307e-05,1.935e-05
1.296e-04,1.502e-05,1.343e-04,1.785e-05,7.558e-05,4.125e-05,2.395e-05,8.713e-06
1.348e-04,3.147e-05,7.987e-05,7.564e-05,1.063e-04,6.461e-05,4.081e-05,3.479e-06
7.713e-05,1.574e-05,5.066e-06,9.447e-05,6.604e-05,5.066e-05,2.874e-05,9.585e-06
6.080e-06,6.247e-05,3.290e-05,7.749e-06,1.812e-05,6.008e-05,4.161e-06,9.887e-06
1.192e-06,5.579e-05,5.460e-05,2.950e-05,8.106e-06,6.437e-06,3.505e-06,9.801e-06
3.350e-05,8.583e-06,7.689e-05,6.646e-06,2.027e-05,1.287e-05,3.047e-06,1.761e-05
1.431e-06,5.627e-05,8.416e-05,3.806e-05,6.938e-05,2.396e-05,4.062e-06,2.657e-05
3.612e-05,6.485e-05,7.999e-05,1.475e-05,1.812e-05,3.850e-05,3.782e-05,1.018e-05
2.396e-05,8.273e-05,7.087e-05,6.405e-05,5.102e-05,5.162e-05,7.470e-05,7.325e-05
6.330e-05,5.770e-05,7.510e-05,4.265e-05,2.313e-05,2.301e-05,2.496e-05,1.188e-06
8.690e-05,8.821e-06,6.449e-05,3.505e-05,5.174e-05,2.491e-05,4.224e-05,4.676e-05
1.347e-05,6.866e-05,4.804e-05,5.323e-05,2.384e-07,1.907e-06,1.604e-05,1.427e-05
4.506e-05,7.129e-05,3.672e-05,4.247e-05,3.672e-05,3.850e-05,2.050e-05,1.809e-05
7.582e-05,5.722e-06,2.789e-05,2.864e-05,8.774e-05,6.151e-05,1.662e-05,1.813e-05
1.698e-04,3.672e-05,1.055e-05,3.791e-05,4.292e-06,2.527e-05,5.888e-06,1.295e-05
4.923e-05,7.057e-05,9.298e-06,3.842e-05,1.526e-05,6.378e-05,1.588e-05,2.426e-05
1.073e-05,7.343e-05,2.074e-05,9.418e-06,2.551e-05,1.764e-05,1.487e-05,3.891e-05
3.195e-05,1.907e-05,3.397e-05,1.794e-05,5.698e-05,6.616e-05,3.632e-05,1.032e-05
1.335e-05,2.694e-05,3.761e-05,1.532e-05,1.025e-05,4.411e-05,2.771e-05,2.851e-05
4.578e-05,1.121e-05,4.685e-05,7.331e-06,3.600e-05,4.756e-05,1.425e-05,6.407e-07
2.146e-06,4.649e-05,6.032e-05,5.364e-07,6.914e-06,1.872e-05,1.237e-05,6.031e-06
1.311e-05,2.718e-05,7.796e-05,1.550e-06,5.484e-05,2.384e-07,3.392e-05,4.053e-05
2.038e-05,2.837e-05,7.719e-05,8.702e-06,3.338e-05,9.537e-06,4.509e-05,3.886e-05
5.186e-05,5.031e-05,5.913e-05,6.288e-06,1.669e-06,1.907e-06,4.826e-05,2.845e-05
7.403e-05,2.885e-05,3.481e-05,2.500e-05,1.740e-05,3.576e-07,1.299e-05,2.773e-05
4.280e-05,5.007e-05,2.444e-05,3.487e-05,8.178e-05,6.354e-05,6.246e-05,7.642e-05
4.542e-05,8.821e-06,1.752e-05,2.801e-06,1.669e-06,4.327e-05,4.381e-05,6.251e-05
2.146e-05,1.931e-05,3.183e-05,3.666e-06,3.576e-06,5.603e-06,6.401e-05,8.609e-06
1.299e-05,3.576e-05,4.101e-05,2.736e-05,1.431e-06,3.707e-05,3.047e-05,5.943e-05
4.292e-05,1.693e-05,3.952e-05,3.994e-06,3.433e-05,3.350e-05,2.093e-05,4.496e-05
2.563e-05,2.265e-05,3.481e-05,9.537e-07,4.196e-05,3.159e-05,4.472e-06,2.712e-06
4.244e-05,8.821e-06,2.676e-05,1.895e-05,4.292e-06,1.562e-05,2.869e-05,6.024e-06
5.603e-06,1.240e-05,2.432e-05,1.436e-05,3.767e-05,8.106e-06,3.316e-07,1.764e-05
6.437e-06,9.298e-06,1.526e-05,1.693e-05,1.645e-05,5.722e-06,1.924e-05,1.071e-05
0.000e+00,2.766e-05,5.364e-07,2.772e-05,1.955e-05,1.621e-05,2.220e-05,4.778e-05
6.032e-05,1.431e-06,1.419e-05,2.289e-05,2.146e-06,1.252e-05,8.484e-06,2.861e-05
1.335e-05,5.078e-05,1.079e-05,3.868e-05,5.984e-05,1.585e-05,2.197e-05,4.726e-05
1.979e-05,7.081e-05,2.444e-06,3.701e-05,5.913e-05,1.740e-05,2.459e-05,5.960e-08
6.962e-05,1.836e-05,1.192e-07,4.804e-05,1.669e-06,1.299e-05,6.599e-06,8.885e-06
5.686e-05,4.268e-05,3.040e-06,1.699e-05,7.296e-05,3.576e-06,8.758e-06,7.242e-06
3.934e-05,4.053e-05,7.421e-06,4.750e-05,1.335e-05,2.050e-05,1.162e-05,5.282e-06
2.432e-05,2.742e-05,1.359e-05,3.177e-05,4.768e-07,9.179e-06,2.647e-05,3.804e-06
3.970e-05,9.775e-06,1.064e-05,6.253e-05,2.980e-05,1.228e-05,1.494e-05,9.086e-06
8.333e-05,2.718e-05,3.010e-06,2.801e-05,2.003e-05,1.097e-05,1.097e-05,6.236e-06
2.718e-05,4.101e-05,5.752e-06,2.503e-06,8.202e-05,6.413e-05,3.065e-05,1.945e-06
2.384e-07,8.678e-05,1.478e-05,3.517e-06,4.244e-05,2.897e-05,1.832e-05,7.801e-06
5.651e-05,8.392e-05,1.651e-05,5.662e-06,4.458e-05,3.278e-05,3.298e-05,3.570e-05
3.827e-05,6.914e-06,2.155e-05,5.037e-05,1.192e-05,5.257e-05,3.112e-06,2.760e-06
5.627e-05,6.056e-05,1.937e-05,3.648e-05,4.983e-05,2.134e-05,4.868e-05,4.274e-05
5.591e-05,2.050e-05,6.914e-06,1.168e-05,4.697e-05,3.207e-05,7.674e-06,1.765e-05
5.591e-05,1.121e-05,1.031e-05,2.956e-05,5.317e-05,6.676e-06,1.946e-06,1.264e-05
4.768e-06,1.192e-06,2.939e-05,3.022e-05,4.268e-05,3.815e-06,2.831e-05,2.286e-05
9.298e-06,1.884e-05,4.709e-05,2.152e-05,9.823e-05,2.897e-05,1.036e-05,2.047e-05
5.269e-05,1.454e-05,5.269e-05,2.921e-05,1.216e-05,2.503e-06,2.090e-05,1.765e-05
4.351e-05,2.384e-05,5.457e-05,2.563e-06,4.315e-05,4.959e-05,4.272e-05,1.631e-05
3.064e-05,7.629e-06,6.151e-05,3.016e-05,1.717e-05,4.768e-06,5.286e-06,3.292e-05
3.135e-05,1.311e-05,7.072e-05,8.225e-06,2.146e-05,9.656e-06,2.338e-05,5.506e-05
4.566e-05,4.292e-05,7.898e-05,2.289e-05,2.885e-05,5.138e-05,2.266e-05,3.410e-05
1.287e-05,5.841e-05,8.139e-05,2.384e-06,1.621e-05,3.850e-05,4.429e-06,1.220e-05
2.420e-05,2.718e-05,8.196e-05,1.431e-06,9.298e-06,5.460e-05,5.985e-06,2.117e-05
7.784e-05,1.907e-06,7.814e-05,2.182e-05,3.362e-05,2.003e-05,1.440e-05,8.463e-05
6.771e-05,7.463e-05,5.567e-05,5.084e-05,1.454e-05,3.445e-05,5.161e-05,2.341e-05
3.874e-05,3.409e-05,3.448e-05,2.337e-05,3.600e-05,4.375e-05,2.805e-05,3.438e-05
2.372e-05,1.192e-06,1.372e-05,3.761e-05,5.150e-05,1.669e-06,2.572e-05,1.565e-05
2.503e-06,1.073e-04,2.882e-05,1.734e-05,1.502e-05,1.681e-05,1.396e-05,1.583e-06
3.183e-05,5.960e-06,4.447e-05,3.821e-05,8.535e-05,8.225e-06,7.311e-06,8.538e-06
4.172e-06,1.884e-05,2.062e-05,1.663e-05,1.073e-05,2.480e-05,1.642e-05,8.885e-06
2.146e-06,2.503e-05,6.154e-06,6.914e-06,3.958e-05,5.603e-06,3.519e-06,8.721e-06
6.318e-06,5.007e-05,3.076e-05,1.174e-05,2.527e-05,2.050e-05,1.078e-05,8.542e-06
2.623e-05,1.018e-04,5.381e-05,1.258e-05,7.558e-05,8.225e-06,1.833e-05,1.486e-05
2.563e-05,9.203e-05,7.892e-05,6.801e-05,6.080e-05,1.836e-05,2.293e-06,2.570e-06
6.044e-05,3.338e-06,9.622e-05,4.160e-05,1.597e-05,5.043e-05,2.765e-05,2.889e-05
2.110e-05,1.144e-05,7.161e-05,3.535e-05,1.669e-06,8.953e-05,4.532e-06,8.684e-06
1.836e-05,3.719e-05,1.714e-05,2.402e-05,9.537e-07,4.768e-06,2.898e-06,8.728e-06
1.264e-05,6.247e-05,2.071e-05,4.172e-05,2.408e-05,1.121e-05,7.953e-06,1.978e-05
2.742e-06,4.148e-05,4.128e-05,9.418e-06,2.837e-05,3.934e-06,2.007e-05,2.192e-05
5.841e-06,3.195e-05,4.534e-05,2.283e-05,3.314e-05,4.327e-05,6.206e-06,4.157e-05
3.076e-05,3.958e-05,3.965e-05,3.600e-05,3.815e-06,1.669e-05,1.662e-05,4.575e-06
8.821e-06,2.575e-05,1.327e-05,3.022e-05,5.341e-05,1.037e-05,4.011e-05,1.461e-05
9.418e-06,2.599e-05,3.812e-05,1.073e-05,5.484e-05,1.752e-05,3.755e-05,2.345e-05
4.125e-05,2.527e-05,1.064e-04,5.960e-06,1.836e-05,5.245e-06,1.286e-05,1.388e-05
9.537e-06,3.409e-05,2.130e-04,3.850e-05,1.669e-05,5.245e-06,8.211e-06,8.009e-07
